Name,State,Category,Policy_Incentive_Type,Created,Last_Updated
PECO Energy (Electric) - Non-Residential Energy Efficiency Rebate Program,PA,Financial Incentive,Rebate Program,3/26/2010,6/24/2025
"FirstEnergy (Met-Ed, Penelec, Penn Power, and West Penn) - Commercial and Industrial Energy Efficiency Program",PA,Financial Incentive,Rebate Program,5/6/2010,9/4/2024
"FirstEnergy (MetEdison, Penelec, Penn Power, West Penn Power) - Residential Energy Efficiency Programs",PA,Financial Incentive,Rebate Program,5/6/2010,5/15/2024
Energy Efficiency and Conservation Requirements for Utilities,PA,Regulatory Policy,Energy Efficiency Resource Standard,12/20/2010,10/7/2024
City of Philadelphia - Energy Standards for Public Buildings,PA,Regulatory Policy,Energy Standards for Public Buildings,4/11/2011,6/24/2024
City of Philadelphia - Streamlined Solar Permitting and Fee Reduction,PA,Financial Incentive,Green Building Incentive,4/12/2011,6/5/2024
Philadelphia Gas Works - Residential and Small Business Equipment Rebate Program,PA,Financial Incentive,Rebate Program,5/19/2011,11/1/2024
Philadelphia Gas Works - Commercial and Industrial Equipment Rebate Program,PA,Financial Incentive,Rebate Program,5/19/2011,11/1/2024
Philadelphia Gas Works - Residential Incentives Program,PA,Financial Incentive,Rebate Program,12/13/2012,2/18/2025
Solar Alternative Energy Credits,PA,Financial Incentive,Solar Renewable Energy Credit Program,2/19/2015,3/7/2023
Renewable Energy Program,PA,Financial Incentive,Industry Recruitment/Support,5/4/2015,9/11/2022
PECO Energy (Gas)- Commercial Heating Efficiency Rebate Program,PA,Financial Incentive,Rebate Program,1/8/2016,8/1/2024
Solar Energy Loan Program,PA,Financial Incentive,Loan Program,11/22/2016,10/22/2022
City of Philadelphia - Solar Rebate Program,PA,Financial Incentive,Rebate Program,8/14/2019,6/19/2023
Alternative Fuels Incentive Grant Program (AFIG),PA,Financial Incentive,Grant Program,6/18/2021,8/12/2021
Truck and Bus Fleet Grant Program,PA,Financial Incentive,Grant Program,6/18/2021,12/31/2021
Clean Diesel Grant Program,PA,Financial Incentive,Grant Program,6/18/2021,8/12/2021
Electric Cargo Handling Grant Program,PA,Financial Incentive,Grant Program,6/18/2021,12/31/2021
DC Fast Charging and Hydrogen Fueling Grant Program,PA,Financial Incentive,Grant Program,6/18/2021,6/1/2023
Level 2 EV Charging Rebate Program,PA,Financial Incentive,Rebate Program,6/18/2021,6/9/2023
Onroad Rebate Program for Trucks and Buses,PA,Financial Incentive,Rebate Program,6/18/2021,6/9/2023
Alternative Fuel Vehicle Rebate Program,PA,Financial Incentive,Rebate Program,6/18/2021,6/1/2023
Duquesne Light Company - PEV Bill Credit Program,PA,Financial Incentive,Rebate Program,8/20/2021,6/11/2025
PECO - EV Rebate Program,PA,Financial Incentive,Rebate Program,8/20/2021,11/22/2024
PPL Electric Utilities - Business Incentive Program,PA,Financial Incentive,Rebate Program,6/8/2022,8/15/2024
PECO - Commercial Charger Rebate Program,PA,Financial Incentive,Rebate Program,6/21/2022,8/5/2024
Cooking in Healthy Electrified Commercial Kitchens (CHECK) Program,PA,Financial Incentive,Rebate Program,1/10/2023,6/29/2023
EZ Permit: Electric Vehicle Charger,PA,Financial Incentive,Green Building Incentive,5/24/2024,6/5/2024
Puerto Rico - Renewable Energy Equipment Certification,PR,Regulatory Policy,Equipment Certification,10/21/2002,6/3/2024
Puerto Rico - Industry Tax Incentives,PR,Financial Incentive,Industry Recruitment/Support,10/21/2002,5/21/2025
Puerto Rico - Property Tax Exemption for Solar and Renewable Energy Equipment,PR,Financial Incentive,Property Tax Incentive,1/17/2008,12/4/2023
Puerto Rico - Excise Tax Exemption for Farmers,PR,Financial Incentive,Sales Tax Incentive,1/17/2000,6/4/2025
Puerto Rico - Net Metering,PR,Regulatory Policy,Net Metering,1/18/2008,5/20/2025
Puerto Rico - Building Energy Code with Mandatory Solar-Ready for New Residential Construction,PR,Regulatory Policy,Building Energy Code,6/18/2008,5/21/2025
Puerto Rico - Interconnection Standards,PR,Regulatory Policy,Interconnection,12/15/2008,5/30/2024
Puerto Rico - Sales and Use Tax Exemption for Solar Equipment,PR,Financial Incentive,Sales Tax Incentive,12/16/2008,12/5/2023
Puerto Rico - Economic Development Incentives for Renewables,PR,Financial Incentive,Industry Recruitment/Support,12/18/2008,6/4/2025
Puerto Rico - Solar and Wind Contractor Certification,PR,Regulatory Policy,Solar/Wind Contractor Licensing,2/10/2009,12/18/2024
Puerto Rico - Renewable Energy Portfolio Standard,PR,Regulatory Policy,Renewables Portfolio Standard,7/26/2010,7/1/2025
Energy Efficiency Savings Targets,PR,Regulatory Policy,Energy Efficiency Resource Standard,10/31/2024,6/30/2025
Palau - Net Metering,PW,Regulatory Policy,Net Metering,12/15/2014,8/16/2024
Rhode Island Solar Easement Laws,RI,Regulatory Policy,Solar/Wind Access Policy,1/1/2000,11/5/2023
Net Metering,RI,Regulatory Policy,Net Metering,1/1/2000,5/20/2025
Rhode Island Renewable Energy Fund,RI,Regulatory Policy,Public Benefits Fund,1/1/2000,5/21/2025
Renewable Energy Standard,RI,Regulatory Policy,Renewables Portfolio Standard,7/6/2004,7/1/2025
Renewable Energy Products Sales and Use Tax Exemption,RI,Financial Incentive,Sales Tax Incentive,8/16/2005,12/5/2023
Fuel Mix and Emissions Disclosure,RI,Regulatory Policy,Generation Disclosure,12/6/2005,8/9/2023
National Grid (Electric) - Large Business Program,RI,Financial Incentive,Rebate Program,4/17/2006,7/1/2024
Rhode Island Appliance and Equipment Energy Efficiency Standards,RI,Regulatory Policy,Appliance/Equipment Efficiency Standards,6/5/2006,10/23/2024
Building Energy Code,RI,Regulatory Policy,Building Energy Code,7/27/2006,6/18/2023
Green Building Standards for State Facilities,RI,Regulatory Policy,Energy Standards for Public Buildings,8/1/2006,6/21/2024
Local Option - Property Tax Exemption for Renewable Energy Systems,RI,Financial Incentive,Property Tax Incentive,11/13/2007,12/6/2023
Rhode Island Energy (Gas) - Commercial Energy Efficiency Programs,RI,Financial Incentive,Rebate Program,7/23/2008,2/5/2025
Rhode Island Energy (Electric) - Small Business Energy Efficiency Program,RI,Financial Incentive,Rebate Program,7/23/2008,2/6/2025
National Grid (Gas) - Residential Gas Heating Rebate Programs,RI,Financial Incentive,Rebate Program,7/23/2008,4/30/2024
National Grid (Electric) - Residential Energy Efficiency Incentive Program,RI,Financial Incentive,Rebate Program,7/23/2008,5/10/2024
Energy Efficiency Resource Standard,RI,Regulatory Policy,Energy Efficiency Resource Standard,12/16/2010,6/30/2025
Interconnection Guidelines,RI,Regulatory Policy,Interconnection,9/14/2011,6/6/2024
Small Scale Solar Grants (Commerce RI),RI,Financial Incentive,Grant Program,1/10/2013,3/23/2023
Commercial Scale Renewable Energy Grants (Commerce RI),RI,Financial Incentive,Grant Program,1/10/2013,3/23/2023
Rhode Island C-PACE program,RI,Financial Incentive,PACE Financing,8/23/2013,12/20/2023
Renewable Energy Growth Program,RI,Financial Incentive,Performance-Based Incentive,8/20/2014,5/21/2025
Renewable Energy Professional Certification,RI,Regulatory Policy,Solar/Wind Contractor Licensing,8/22/2014,12/17/2024
Rhode Island Energy (Electric) Commercial and Industrial Rebate Program,RI,Financial Incentive,Rebate Program,5/8/2015,2/6/2025
Green Power Purchasing for State Facilities,RI,Regulatory Policy,Green Power Purchasing,12/14/2015,12/10/2024
Energy Efficiency Standard for State Buildings,RI,Regulatory Policy,Energy Standards for Public Buildings,12/14/2015,7/2/2024
Property Tax Exemption for Renewable Energy Equipment,RI,Financial Incentive,Property Tax Incentive,8/1/2016,3/23/2023
Agricultural Energy Program,RI,Financial Incentive,Grant Program,2/2/2017,5/21/2025
Community Remote Net Metering Program,RI,Regulatory Policy,Community Solar Rules,6/10/2022,5/19/2025
Offshore Wind Energy Target,RI,Regulatory Policy,Offshore Wind Energy Target,5/17/2024,5/30/2024
Energy Storage Target,RI,Regulatory Policy,Energy Storage Target,9/10/2024,9/10/2024
Rhode Island   Home Electrification and Appliance Rebate (HEAR) Program,RI,Financial Incentive,Rebate Program,12/12/2024,5/20/2025
ConserFund Loan Program,SC,Financial Incentive,Loan Program,3/27/2006,7/7/2025
Duke Energy Progress- Rate Discount for Energy Star Homes,SC,Financial Incentive,Utility Rate Discount,5/16/2006,7/15/2024
"Solar Energy, Small Hydropower, and Geothermal Tax Credit (Personal)",SC,Financial Incentive,Personal Tax Credit,7/18/2006,3/21/2025
"Solar Energy, Small Hydropower, and Geothermal Tax Credit (Corporate)",SC,Financial Incentive,Corporate Tax Credit,7/18/2006,3/19/2025
Building Energy Code,SC,Regulatory Policy,Building Energy Code,7/19/2006,6/18/2023
Santee Cooper - Smart Energy Loan Program,SC,Financial Incentive,Loan Program,8/22/2006,7/15/2024
Pee Dee Electric Cooperative - Energy Resource Conservation Loan Program,SC,Financial Incentive,Loan Program,8/31/2006,5/14/2024
Palmetto Electric Cooperative - Buried Treasure Rebate Program,SC,Financial Incentive,Rebate Program,8/31/2006,5/6/2024
Blue Ridge Electric Cooperative - Heat Pump Loan Program,SC,Financial Incentive,Loan Program,8/31/2006,5/14/2024
Berkeley Electric Cooperative - Energy Efficiency Loan Programs,SC,Financial Incentive,Loan Program,9/15/2006,5/14/2024
Interconnection Guidelines,SC,Regulatory Policy,Interconnection,1/4/2007,6/7/2024
State Building Energy Standards,SC,Regulatory Policy,Energy Standards for Public Buildings,6/25/2007,6/25/2024
Sales Tax Exemption for Hydrogen Fuel Cells,SC,Financial Incentive,Sales Tax Incentive,10/17/2007,12/5/2023
Santee Cooper - Renewable Energy Resource Loans,SC,Financial Incentive,Loan Program,10/30/2007,2/3/2025
Energy Efficient Manufactured Homes Sales Tax Incentive,SC,Financial Incentive,Sales Tax Incentive,12/20/2006,3/21/2023
Net Metering,SC,Regulatory Policy,Net Metering,8/22/2008,2/28/2025
South Carolina Municipalities - Green Power Purchasing,SC,Regulatory Policy,Green Power Purchasing,9/2/2008,12/10/2024
Berkeley Electric Cooperative - Energy Efficiency Rebate Program,SC,Financial Incentive,Rebate Program,1/1/2009,10/4/2023
Duke Energy (Electric) - Residential Energy Efficiency Rebate Program,SC,Financial Incentive,Rebate Program,8/12/2009,5/2/2024
Duke Energy Carolinas - Non-Residential Energy Efficiency Rebate Program,SC,Financial Incentive,Rebate Program,8/12/2009,6/17/2024
York Electric Cooperative - Dual Fuel Heat Pump Rebate Program,SC,Financial Incentive,Rebate Program,8/12/2009,5/14/2024
Duke Energy Progress - Residential Energy Efficiency Rebate Program,SC,Financial Incentive,Rebate Program,2/12/2010,5/1/2024
Piedmont Natural Gas - Residential Equipment Efficiency Program,SC,Financial Incentive,Rebate Program,6/8/2010,8/4/2023
Piedmont Natural Gas - Commercial Equipment Efficiency Rebates,SC,Financial Incentive,Rebate Program,6/8/2010,8/4/2023
Rock Hill Utilities - Water Heater and Heat Pump Rebate Program,SC,Financial Incentive,Rebate Program,6/29/2010,5/1/2024
Santee Cooper - Residential Energy Efficiency Existing Homes Rebate Program,SC,Financial Incentive,Rebate Program,8/22/2006,5/6/2024
Santee Cooper - Commercial Energy Efficiency Rebate Program,SC,Financial Incentive,Rebate Program,8/22/2006,4/8/2024
Dominion Energy (Electric) - Residential EnergyWise Program,SC,Financial Incentive,Rebate Program,5/3/2011,5/1/2024
Dominion Energy - Commercial EnergyWise Program,SC,Financial Incentive,Rebate Program,5/3/2011,8/5/2024
Aiken Electric Cooperative Inc - Residential Energy Efficiency Rebate Program,SC,Financial Incentive,Rebate Program,8/2/2012,1/9/2024
Renewable Energy Manufacturing Tax Credit,SC,Financial Incentive,Industry Recruitment/Support,3/18/2013,2/17/2023
Duke Energy Progress - Residential New Construction Rebate Program,SC,Financial Incentive,Rebate Program,7/22/2013,5/2/2024
Distributed Energy Resource Program,SC,Regulatory Policy,Renewables Portfolio Standard,7/9/2014,11/26/2024
Energy Efficiency Revolving Loan Fund,SC,Financial Incentive,Loan Program,8/14/2014,9/11/2024
Blue Ridge Electric Cooperative - Residential Water Heater Rebate,SC,Financial Incentive,Rebate Program,7/1/2015,5/14/2024
Santee Cooper - Rooftop Solar Rebate Program,SC,Financial Incentive,Rebate Program,2/2/2017,3/21/2025
Renewable Energy and Energy Storage Property Tax Exemption,SC,Financial Incentive,Property Tax Incentive,10/5/2021,3/21/2025
South Carolina - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,SC,Financial Incentive,Grant Program,6/21/2024,6/21/2024
Black Hills Energy - Residential Customer Rebate Program,SD,Financial Incentive,Rebate Program,5/17/2006,6/17/2025
Building Energy Code,SD,Regulatory Policy,Building Energy Code,8/2/2006,5/23/2023
Southeastern Electric Cooperative - Electric Equipment Loan Program,SD,Financial Incentive,Loan Program,3/15/2007,6/23/2025
Large Commercial Wind and Solar Alternative Taxes,SD,Financial Incentive,Property Tax Incentive,3/6/2008,10/28/2024
"Renewable, Recycled and Conserved Energy Objective",SD,Regulatory Policy,Renewables Portfolio Standard,3/21/2008,11/26/2024
High-Performance Building Requirements for State Buildings,SD,Regulatory Policy,Energy Standards for Public Buildings,7/18/2008,3/13/2024
Otter Tail Power Company - Residential and Commercial Energy Efficiency Rebate Program,SD,Financial Incentive,Rebate Program,11/19/2008,11/8/2023
Black Hills Energy - Commercial Energy Efficiency Programs,SD,Financial Incentive,Rebate Program,11/21/2008,6/18/2025
Interconnection Standards,SD,Regulatory Policy,Interconnection,6/15/2009,6/4/2024
Montana-Dakota Utilities (Gas) - Commercial Natural Gas Efficiency Rebate Program,SD,Financial Incentive,Rebate Program,1/19/2010,2/20/2025
Montana-Dakota Utilities (Gas) - Residential Energy Efficiency Rebate Program,SD,Financial Incentive,Rebate Program,1/19/2010,6/17/2025
South Dakota Solar and Wind Easement Law,SD,Regulatory Policy,Solar/Wind Access Policy,2/15/2010,12/20/2023
Renewable Energy System Exemption,SD,Financial Incentive,Property Tax Incentive,4/7/2010,10/28/2024
Southeastern Electric - Energy Efficiency Rebate Program,SD,Financial Incentive,Rebate Program,3/15/2007,6/23/2025
Business Energy Efficiency Rebate (Offered by 11 Utilities),SD,Financial Incentive,Rebate Program,2/3/2012,8/30/2024
Residential Energy Efficiency Rebates (Offered by 12 Utilities),SD,Financial Incentive,Rebate Program,2/3/2012,11/8/2023
Renewable Energy Facility Sales and Use Tax Reimbursement,SD,Financial Incentive,Sales Tax Incentive,6/26/2013,12/4/2024
Clean Diesel Grant Program,SD,Financial Incentive,Grant Program,6/19/2021,10/10/2023
Commercial Energy Efficiency Rebates (Offered by 12 Utilities),SD,Financial Incentive,Rebate Program,11/14/2023,11/14/2023
South Dakota - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,SD,Financial Incentive,Grant Program,6/19/2024,6/25/2024
Tennessee Solar Easement and Access Laws,TN,Regulatory Policy,Solar/Wind Access Policy,1/1/2000,1/3/2025
Building Energy Code,TN,Regulatory Policy,Building Energy Code,6/30/2006,6/18/2023
Electric Power Board of Chattanooga - Smart Build New Homes Program for Builders & Developers,TN,Financial Incentive,Rebate Program,8/17/2006,7/3/2025
Bristol Tennessee Electric Service - Energy Savings Loan Program,TN,Financial Incentive,Loan Program,8/17/2006,5/20/2024
Middle Tennessee EMC - Residential Heat Pump Loan Program,TN,Financial Incentive,Loan Program,9/19/2006,5/20/2024
Energy Star Procurement Requirement for Agencies,TN,Regulatory Policy,Energy Standards for Public Buildings,12/22/2008,6/12/2024
Energy Efficient Schools Initiative - Loans,TN,Financial Incentive,Loan Program,8/10/2009,1/2/2025
Pathway Energy Efficiency Loan Program,TN,Financial Incentive,Loan Program,9/1/2010,1/2/2025
Green Energy Production Facility Tax Credit,TN,Financial Incentive,Industry Recruitment/Support,9/4/2010,2/17/2024
Sales Tax Credit for Clean Energy Technology,TN,Financial Incentive,Sales Tax Incentive,7/18/2011,1/2/2025
Green Energy Property Tax Assessment,TN,Financial Incentive,Property Tax Incentive,7/6/2012,1/2/2025
TVA - Residential Energy Efficiency Rebate Program,TN,Financial Incentive,Rebate Program,3/5/2015,10/16/2023
TVA - Commercial Energy Efficiency Rebate Program,TN,Financial Incentive,Rebate Program,6/2/2020,10/16/2023
Tennessee C-PACER Financing,TN,Financial Incentive,PACE Financing,1/5/2024,1/10/2024
Interconnection Procedures,TN,Regulatory Policy,Interconnection,6/10/2024,2/11/2025
Tennessee - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,TN,Financial Incentive,Grant Program,6/12/2024,6/12/2024
City of Memphis - PILOT Program,TN,Financial Incentive,Property Tax Incentive,7/23/2024,7/23/2024
Fuel Mix and Emissions Disclosure,TX,Regulatory Policy,Generation Disclosure,1/8/2001,8/9/2023
Solar and Wind Energy Device Franchise Tax Deduction,TX,Financial Incentive,Corporate Tax Deduction,1/1/2000,5/21/2025
Solar and Wind Energy Business Franchise Tax Exemption,TX,Financial Incentive,Industry Recruitment/Support,1/1/2000,5/21/2025
Renewable Energy Systems Property Tax Exemption,TX,Financial Incentive,Property Tax Incentive,1/1/2000,3/24/2023
Mandatory Renewable Energy Educational Materials,TX,Regulatory Policy,Line Extension Analysis,1/1/2000,5/21/2025
Interconnection Standards,TX,Regulatory Policy,Interconnection,7/16/2002,6/4/2024
City of Austin - Renewables Portfolio Standard,TX,Regulatory Policy,Renewables Portfolio Standard,6/9/2003,6/30/2025
Austin Energy - Residential Solar PV Rebate Program,TX,Financial Incentive,Rebate Program,6/1/2004,12/4/2024
LoanSTAR Revolving Loan Program,TX,Financial Incentive,Loan Program,6/15/2005,6/6/2025
Texas Gas Service - Residential Energy Efficiency Rebate Program,TX,Financial Incentive,Rebate Program,5/29/2006,5/6/2024
Texas Gas Service - Commercial Energy Efficiency Rebate Program,TX,Financial Incentive,Rebate Program,5/29/2006,8/11/2023
Texas-New Mexico Power Company - Residential and Hard-to-Reach Standard Offer Programs,TX,Financial Incentive,Rebate Program,5/29/2006,3/27/2024
Texas-New Mexico Power Company - SCORE/CitySmart & Commercial Solutions Market Transformation Programs,TX,Financial Incentive,Rebate Program,5/29/2006,3/27/2024
Xcel Energy - Commercial and Industrial Standard Offer Program,TX,Financial Incentive,Rebate Program,6/12/2006,8/11/2023
Building Energy Code,TX,Regulatory Policy,Building Energy Code,7/31/2006,6/18/2023
Austin Energy - Home Energy Savings Rebate Program,TX,Financial Incentive,Rebate Program,8/22/2006,6/6/2025
Austin Energy - Home Energy Savings Loan Program,TX,Financial Incentive,Loan Program,8/22/2006,6/6/2025
Austin Energy - Commercial Energy Management Rebate Program,TX,Financial Incentive,Rebate Program,8/22/2006,5/21/2024
Austin Energy - Small Business Energy Efficiency Rebate Program,TX,Financial Incentive,Rebate Program,8/23/2006,5/22/2024
Austin Energy - Multi-Family Energy Efficiency Rebate Program,TX,Financial Incentive,Rebate Program,8/23/2006,5/21/2024
Austin Energy - Weatherization Assistance Program,TX,Financial Incentive,Rebate Program,8/23/2006,5/6/2024
College Station Utilities - Residential Energy Efficiency Rebate Programs,TX,Financial Incentive,Rebate Program,8/24/2006,5/6/2024
CPS Energy (Electric) - Residential Energy Efficiency Rebate Program,TX,Financial Incentive,Rebate Program,8/25/2006,6/2/2025
Denton Municipal Electric - Residential GreenSense Energy Efficiency Rebate Program,TX,Financial Incentive,Rebate Program,8/25/2006,12/18/2023
United Cooperative Services - Residential Energy Efficiency Rebate Program,TX,Financial Incentive,Rebate Program,8/29/2006,5/6/2024
Farmers Electric Cooperative - Residential Energy Efficiency Rebate Program,TX,Financial Incentive,Rebate Program,8/30/2006,8/11/2023
Energy Efficiency Goals and Requirements for Public Entities,TX,Regulatory Policy,Energy Standards for Public Buildings,9/27/2006,5/15/2024
City of Austin - Green Building Policy for Municipal Buildings,TX,Regulatory Policy,Energy Standards for Public Buildings,3/26/2007,6/14/2024
San Antonio City Public Service (CPS Energy) - Renewable Portfolio Goal,TX,Regulatory Policy,Renewables Portfolio Standard,4/2/2007,6/30/2025
Bryan Texas Utilities - SmartBUSINESS Commercial Energy Efficiency Rebate Program,TX,Financial Incentive,Rebate Program,7/16/2007,8/11/2023
CenterPoint Energy - Commercial and Industrial Energy Efficiency Programs,TX,Financial Incentive,Rebate Program,7/31/2007,6/4/2025
CenterPoint Energy - Residential and Hard-to-Reach Energy Efficiency Program,TX,Financial Incentive,Rebate Program,7/31/2007,5/10/2024
Entergy Texas - Commercial Solutions Programs,TX,Financial Incentive,Rebate Program,8/1/2007,8/11/2023
City of Frisco - Residential and Commercial Green Building Requirements,TX,Regulatory Policy,Building Energy Code,10/3/2007,12/12/2024
City of Dallas - Green Building Policy for Municipal Buildings (Energy Efficiency Requirements),TX,Regulatory Policy,Energy Standards for Public Buildings,10/5/2007,6/27/2024
City of Austin - Residential and Commercial Green Building Requirements,TX,Regulatory Policy,Building Energy Code,10/11/2007,7/15/2024
City of Austin - Green Power Purchasing,TX,Regulatory Policy,Green Power Purchasing,10/24/2007,12/9/2024
ENERGY STAR Sales Tax Holiday for Energy-Efficient Products,TX,Financial Incentive,Sales Tax Incentive,10/26/2007,3/30/2023
CPS Energy - Solar PV Rebate Program,TX,Financial Incentive,Rebate Program,11/12/2007,12/5/2024
City of Dallas - Green Energy Purchasing,TX,Regulatory Policy,Green Power Purchasing,3/13/2008,12/11/2024
City of Houston - Green Power Purchasing,TX,Regulatory Policy,Green Power Purchasing,3/13/2008,12/10/2024
City of Houston - Green Building Policy for Municipal Buildings,TX,Regulatory Policy,Energy Standards for Public Buildings,3/14/2008,7/8/2024
Austin Energy - Commercial New Construction Efficiency Rebates,TX,Financial Incentive,Rebate Program,4/24/2008,5/21/2024
City of Plano - Green Building Policy for Municipal Buildings,TX,Regulatory Policy,Energy Standards for Public Buildings,7/15/2008,6/14/2024
Oncor Electric Delivery - Commercial Standard Offer Rebate Program,TX,Financial Incentive,Rebate Program,9/23/2008,5/21/2024
Oncor Electric Delivery - Residential Solar Program,TX,Financial Incentive,Rebate Program,12/9/2008,12/5/2024
Garland Power & Light - EnergySaver Energy Efficiency Rebate Programs,TX,Financial Incentive,Rebate Program,2/24/2009,11/26/2024
Guadalupe Valley Electric Cooperative - Residential Energy Efficiency Rebate Programs,TX,Financial Incentive,Rebate Program,3/31/2009,5/6/2024
Denton Municipal Electric - GreenSense Commercial Standard Offer Rebate Program,TX,Financial Incentive,Rebate Program,6/10/2009,8/11/2023
PACE Financing (Local Option - Contractual Assessments for Energy Efficient Improvements),TX,Financial Incentive,PACE Financing,7/15/2009,12/27/2023
New Braunfels Utilities - Energy Efficiency and Water Conservation Rebate Programs,TX,Financial Incentive,Rebate Program,8/25/2009,8/11/2023
AEP Texas Central Company - SMART Source Solar PV Rebate Program,TX,Financial Incentive,Rebate Program,9/15/2009,12/4/2024
AEP Texas North Company - SMART Source Solar PV Rebate Program,TX,Financial Incentive,Rebate Program,9/16/2009,12/4/2024
City of Sunset Valley - PV Rebate Program,TX,Financial Incentive,Rebate Program,10/9/2009,6/21/2023
AEP (Central SWEPCO and North) - Commercial Solutions Program,TX,Financial Incentive,Rebate Program,12/14/2009,8/11/2023
CenterPoint Energy - SCORE and CitySmart Program,TX,Financial Incentive,Rebate Program,12/14/2009,8/11/2023
El Paso Electric Company - Residential Energy Efficiency Rebate Program,TX,Financial Incentive,Rebate Program,12/15/2009,5/6/2024
El Paso Electric Company - Small Business and Large Commercial Programs,TX,Financial Incentive,Rebate Program,12/15/2009,5/6/2024
Austin Energy - Commercial Solar PV Incentive Program,TX,Financial Incentive,Performance-Based Incentive,2/12/2010,5/21/2025
Green Mountain Energy Renewable Rewards Program,TX,Regulatory Policy,Net Metering,5/27/2010,5/20/2025
City of Brenham - Net Metering,TX,Regulatory Policy,Net Metering,1/31/2011,5/20/2025
"El Paso Electric Company - SCORE Program for Counties, Municipalities, and Schools",TX,Financial Incentive,Rebate Program,12/14/2009,5/6/2024
AEP (Central and SWEPCO) - Coolsaver A/C Tune Up or Replacement,TX,Financial Incentive,Rebate Program,12/14/2009,8/11/2023
Required Energy Efficiency Goals,TX,Regulatory Policy,Energy Efficiency Resource Standard,2/9/2011,6/30/2025
City of Houston - Property Tax Abatement for Green Commercial Buildings,TX,Financial Incentive,Property Tax Incentive,3/30/2011,2/28/2023
City of San Antonio - Residential and Commercial Green Building Requirements,TX,Regulatory Policy,Building Energy Code,4/12/2011,12/12/2024
City of San Antonio - Green Building Policy for Municipal Buildings,TX,Regulatory Policy,Energy Standards for Public Buildings,4/12/2011,6/17/2024
CPS Energy - New Residential Construction Incentives,TX,Financial Incentive,Rebate Program,4/22/2011,8/11/2023
City of Dallas - Residential and Commercial Green Building Requirements,TX,Regulatory Policy,Building Energy Code,4/25/2011,7/11/2024
City of Austin - Zoning Code,TX,Regulatory Policy,Solar/Wind Access Policy,6/10/2011,10/25/2023
Texas Solar Rights,TX,Regulatory Policy,Solar/Wind Access Policy,6/24/2011,11/3/2023
Harris County - Property Tax Abatement for Green Commercial Buildings,TX,Financial Incentive,Property Tax Incentive,7/14/2011,12/6/2023
Harris County - Green Building Policy for County Buildings,TX,Regulatory Policy,Energy Standards for Public Buildings,7/14/2011,5/15/2024
City of San Marcos - Distributed Generation Rebate Program,TX,Financial Incentive,Rebate Program,2/23/2012,1/15/2025
City of San Marcos - Energy Efficient Home Rebate Program,TX,Financial Incentive,Rebate Program,2/23/2012,1/14/2025
AEP (Central SWEPCO and North) - SCORE Program for Schools,TX,Financial Incentive,Rebate Program,12/14/2009,8/11/2023
AEP (Central) - CitySmart Program,TX,Financial Incentive,Rebate Program,12/14/2009,8/11/2023
Brownsville Public Utilities Board - Residential/Small Commercial Rebate Program,TX,Financial Incentive,Rebate Program,8/2/2012,8/11/2023
TXU - Commercial Energy Efficiency Program,TX,Financial Incentive,Rebate Program,12/13/2012,1/31/2025
Bryan Texas Utilities - SmartHOME Residential Energy Efficiency Rebate Program,TX,Financial Incentive,Rebate Program,5/7/2013,8/11/2023
El Paso Electric Company - Net Metering,TX,Regulatory Policy,Net Metering,9/12/2014,5/20/2025
San Antonio City Public Service (CPS Energy) - Net Metering,TX,Regulatory Policy,Net Metering,9/15/2014,5/20/2025
City of Fort Worth - Residential and Commercial Green Building Requirements,TX,Regulatory Policy,Building Energy Code,11/7/2014,7/16/2024
City of Forth Worth - Green Building Policy for Municipal Buildings,TX,Regulatory Policy,Energy Standards for Public Buildings,11/7/2014,6/20/2024
City of Houston - Residential and Commercial Green Building Requirements,TX,Regulatory Policy,Building Energy Code,11/7/2014,12/12/2024
City of El Paso - Green Building Policy for Municipal Buildings,TX,Regulatory Policy,Energy Standards for Public Buildings,11/10/2014,6/14/2024
City of El Paso - Residential and Commercial Green Building Requirements,TX,Regulatory Policy,Building Energy Code,11/10/2014,12/12/2024
Austin Energy - Value of Solar Rate,TX,Regulatory Policy,Value of Solar Tariff,2/5/2015,5/20/2025
CenterPoint Energy Advanced Residential Lighting Program,TX,Financial Incentive,Rebate Program,4/28/2015,6/2/2025
CenterPoint Energy A/C Distributor Program,TX,Financial Incentive,Rebate Program,4/28/2015,6/2/2025
Garland Power & Light - EnergySaver Solar Rebate Program,TX,Financial Incentive,Rebate Program,2/8/2016,8/11/2023
City of San Antonio - Sec. 35-398. - Renewable Energy Systems,TX,Regulatory Policy,Solar/Wind Permitting Standards,8/30/2016,8/17/2023
City of San Antonio - Energy Conservation Code,TX,Regulatory Policy,Building Energy Code,11/17/2016,7/11/2024
City of San Marcos - Commercial Lighting Retrofit Program,TX,Financial Incentive,Rebate Program,7/26/2018,1/14/2025
Austin Energy - Multifamily Solar PV Rebate Program,TX,Financial Incentive,Rebate Program,6/5/2019,1/17/2025
Austin Energy - Commercial Solar PV Rebate Program,TX,Financial Incentive,Rebate Program,6/5/2019,12/5/2024
Texas Clean Fleet Program,TX,Financial Incentive,Grant Program,6/19/2021,5/21/2025
Texas Clean School Bus Program,TX,Financial Incentive,Grant Program,6/19/2021,5/21/2025
